Table Names-1,Title,Author,Price,ISBN,Previous Rank,Weeks of List,Table Names,File Paths,Rank
ABA Bastsellers  02-28-18.xlsx/Feb 28,A Wrinkle in Time,Madeleine L'Engle,8.99,9781250153272,,,Early & Middle,ABA Bastsellers  02-28-18.xlsx,1
ABA Bastsellers  02-28-18.xlsx/Feb 28,Wonder,R.J. Palacio,16.99,9781524720193,,,Early & Middle,ABA Bastsellers  02-28-18.xlsx,2
ABA Bastsellers  02-28-18.xlsx/Feb 28,Auggie & Me,R.J. Palacio,16.99,9781101934852,,,Early & Middle,ABA Bastsellers  02-28-18.xlsx,3
ABA Bastsellers  02-28-18.xlsx/Feb 28,The Girl Who Drank the Moon,Kelly Barnhill,16.95,9781616205676,,,Early & Middle,ABA Bastsellers  02-28-18.xlsx,4
ABA Bastsellers  02-28-18.xlsx/Feb 28,Drama,Raina Telgemeier,10.99,9780545326995,,,Early & Middle,ABA Bastsellers  02-28-18.xlsx,5
ABA Bastsellers  02-28-18.xlsx/Feb 28,The War That Saved My Life,Kimberly Brubaker Bradley,8.99,9780147510488,,,Early & Middle,ABA Bastsellers  02-28-18.xlsx,6
ABA Bastsellers  02-28-18.xlsx/Feb 28,Black Panther: The Young Prince,Ronald L. Smith,16.99,9781484787649,,,Early & Middle,ABA Bastsellers  02-28-18.xlsx,7
ABA Bastsellers  02-28-18.xlsx/Feb 28,Sisters,Raina Telgemeier,10.99,9780545540605,,,Early & Middle,ABA Bastsellers  02-28-18.xlsx,8
ABA Bastsellers  02-28-18.xlsx/Feb 28,Smile,Raina Telgemeier,10.99,9780545132060,,,Early & Middle,ABA Bastsellers  02-28-18.xlsx,9
ABA Bastsellers  02-28-18.xlsx/Feb 28,Marvel's Black Panther: The Junior Novel,Jim McCann,6.99,9780316413206,,,Early & Middle,ABA Bastsellers  02-28-18.xlsx,10
ABA Bastsellers  02-28-18.xlsx/Feb 28,All's Faire in Middle School,Victoria Jamieson,12.99,9780525429999,,,Early & Middle,ABA Bastsellers  02-28-18.xlsx,11
ABA Bastsellers  02-28-18.xlsx/Feb 28,The War I Finally Won,Kimberly Brubaker Bradley,16.99,9780525429203,,,Early & Middle,ABA Bastsellers  02-28-18.xlsx,12
ABA Bastsellers  02-28-18.xlsx/Feb 28,Ghosts,Raina Telgemeier,10.99,9780545540629,,,Early & Middle,ABA Bastsellers  02-28-18.xlsx,13
ABA Bastsellers  02-28-18.xlsx/Feb 28,"Hello, Universe",Erin Entrada Kelly,16.99,9780062414151,,,Early & Middle,ABA Bastsellers  02-28-18.xlsx,14
